Team,Year,Season,Medal Count
A North American Team,1900,Summer,4
Afghanistan,2008,Summer,1
Afghanistan,2012,Summer,1
Algeria,1984,Summer,2
Algeria,1992,Summer,2
Algeria,1996,Summer,3
Algeria,2000,Summer,5
Algeria,2008,Summer,2
Algeria,2012,Summer,1
Algeria,2016,Summer,2
Ali-Baba II,1948,Summer,5
Amateur Athletic Association,1900,Summer,5
Amstel Amsterdam,1908,Summer,4
Ancora,1920,Summer,4
Angelita,1932,Summer,12
Antwerpia V,1920,Summer,5
Aphrodite,1964,Summer,3
Argentina,1924,Summer,10
Argentina,1928,Summer,26
Argentina,1932,Summer,4
Argentina,1936,Summer,11
Argentina,1948,Summer,6
Argentina,1952,Summer,6
Argentina,1956,Summer,2
Argentina,1960,Summer,1
Argentina,1964,Summer,1
Argentina,1968,Summer,2
Argentina,1972,Summer,1
Argentina,1988,Summer,13
Argentina,1992,Summer,2
Argentina,1996,Summer,20
Argentina,2000,Summer,20
Argentina,2004,Summer,49
Argentina,2008,Summer,51
Argentina,2012,Summer,19
Argentina,2016,Summer,22
Argonaut Rowing Club,1908,Summer,6
Armenia,1996,Summer,2
Armenia,2000,Summer,1
Armenia,2008,Summer,6
Armenia,2012,Summer,3
Armenia,2016,Summer,4
Aschenbrodel,1900,Summer,8
Atalanta Boat Club-1,1904,Summer,2
Atalanta Boat Club-2,1904,Summer,2
Atlanta,1920,Summer,9
Australasia,1908,Summer,19
Australasia,1912,Summer,10
Australia,1896,Summer,2
Australia,1900,Summer,5
Australia,1904,Summer,4
Australia,1906,Summer,3
Australia,1920,Summer,7
Australia,1924,Summer,10
Australia,1924,Winter,1
Australia,1928,Summer,4
Australia,1932,Summer,5
Australia,1936,Summer,1
Australia,1948,Summer,16
Australia,1952,Summer,20
Australia,1956,Summer,62
Australia,1960,Summer,46
Australia,1964,Summer,41
Australia,1968,Summer,51
Australia,1972,Summer,20
Australia,1976,Summer,23
Australia,1980,Summer,13
Australia,1984,Summer,52
Australia,1988,Summer,35
Australia,1992,Summer,57
Australia,1994,Winter,4
Australia,1996,Summer,130
Australia,1998,Winter,1
Australia,2000,Summer,181
Australia,2002,Winter,2
Australia,2004,Summer,157
Australia,2006,Winter,2
Australia,2008,Summer,149
Australia,2010,Winter,3
Australia,2012,Summer,114
Australia,2014,Winter,3
Australia,2016,Summer,82
Australia-1,1996,Summer,2
Australia-1,2000,Summer,2
Australia/Great Britain,1896,Summer,2
Austria,1896,Summer,5
Austria,1900,Summer,6
Austria,1904,Summer,3
Austria,1906,Summer,9
Austria,1908,Summer,1
Austria,1912,Summer,14
Austria,1924,Summer,4
Austria,1924,Winter,4
Austria,1928,Summer,5
Austria,1928,Winter,2
Austria,1932,Summer,5
Austria,1932,Winter,2
Austria,1936,Summer,55
Austria,1936,Winter,3
Austria,1948,Summer,8
Austria,1948,Winter,8
Austria,1952,Summer,3
Austria,1952,Winter,8
Austria,1956,Summer,4
Austria,1956,Winter,10
Austria,1960,Summer,3
Austria,1960,Winter,6
Austria,1964,Winter,9
Austria,1968,Summer,5
Austria,1968,Winter,9
Austria,1972,Summer,3
Austria,1972,Winter,5
Austria,1976,Summer,1
Austria,1976,Winter,5
Austria,1980,Summer,5
Austria,1980,Winter,6
Austria,1984,Summer,3
Austria,1984,Winter,1
Austria,1988,Summer,1
Austria,1988,Winter,12
Austria,1992,Summer,6
Austria,1992,Winter,25
Austria,1994,Winter,12
Austria,1996,Summer,3
Austria,1998,Winter,20
Austria,2000,Summer,4
Austria,2002,Winter,20
Austria,2004,Summer,8
Austria,2006,Winter,28
Austria,2008,Summer,3
Austria,2010,Winter,24
Austria,2014,Winter,25
Austria,2016,Summer,2
